"","nlcd","elevation","aspect","slope","x","y","aspect_categorical","animal_id","use"
"92959",7,2250.97436523438,240.226303100586,5.37387609481812,-1119420,1720050,"W","D8",0
"89655",7,2311.76684570312,163.111267089844,6.20074367523193,-1117740,1720260,"S","D8",0
"81975",7,2315.876953125,277.667388916016,2.64594316482544,-1117740,1720740,"W","D8",0
"76196",7,2293.36865234375,254.068298339844,3.348219871521,-1118310,1721100,"W","D8",0
"66148",7,2334.09521484375,244.723693847656,1.84536790847778,-1117350,1721730,"W","D8",0
"68540",7,2326.64038085938,285.499969482422,3.08783555030823,-1117590,1721580,"W","D8",0
"70477",6,2332.84521484375,244.75959777832,5.80341339111328,-1117080,1721460,"W","D8",0
"91077",7,2296.31420898438,288.909271240234,2.10241198539734,-1118280,1720170,"W","D8",0
"92016",7,2272.71508789062,187.386352539062,3.79087924957275,-1118910,1720110,"S","D8",0
"106372",7,2203.88159179688,182.245849609375,4.40285301208496,-1120230,1719210,"S","D8",0
"58520",6,2389.50170898438,277.124572753906,2.98195910453796,-1115790,1722210,"W","D8",0
"93453",7,2268.09350585938,218.771545410156,2.18321990966797,-1119000,1720020,"S","D8",0
"103040",6,2252.83862304688,243.746978759766,2.39411211013794,-1119390,1719420,"W","D8",0
"79069",7,2276.54956054688,215.257263183594,7.29204654693604,-1118520,1720920,"S","D8",0
"87207",7,2252.21752929688,289.986083984375,5.56408929824829,-1119180,1720410,"W","D8",0
"103536",7,2252.28735351562,178.498291015625,6.61329317092896,-1118910,1719390,"S","D8",0
"72394",6,2321.96020507812,291.980865478516,3.07284998893738,-1117170,1721340,"W","D8",0
"94417",3,2276.08935546875,292.592712402344,2.60733127593994,-1118880,1719960,"W","D8",0
"83844",7,2261.82104492188,160.777450561523,2.73785424232483,-1119270,1720620,"S","D8",0
"67099",6,2322.06665039062,278.571624755859,4.23313665390015,-1117620,1721670,"W","D8",0
"111185",7,2232.93872070312,211.422653198242,1.9205334186554,-1119840,1718910,"S","D8",0
"80056",7,2313.7734375,334.724334716797,4.17145919799805,-1117710,1720860,"N","D8",0
"76189",7,2283.1455078125,241.550491333008,3.18699288368225,-1118520,1721100,"W","D8",0
"94912",7,2291.513671875,266.321624755859,3.31614828109741,-1118430,1719930,"W","D8",0
"111669",3,2238.64794921875,266.110473632812,2.37180638313293,-1119720,1718880,"W","D8",0
"56104",6,2378.63037109375,281.829284667969,2.98930025100708,-1116270,1722360,"W","D8",0
"84830",7,2285.51879882812,289.612396240234,3.09362316131592,-1118490,1720560,"W","D8",0
"53718",6,2395.75366210938,220.224563598633,3.51114869117737,-1115850,1722510,"S","D8",0
"64709",7,2336.9326171875,252.380142211914,2.57769107818604,-1117320,1721820,"W","D8",0
"75275",7,2336.53271484375,276.690490722656,3.21328258514404,-1117140,1721160,"W","D8",0
"108784",3,2235.87622070312,259.992797851562,1.31036651134491,-1119870,1719060,"W","D8",0
"65197",7,2349.34033203125,265.523010253906,3.55227303504944,-1117080,1721790,"W","D8",0
"89119",7,2241.78930664062,252.872436523438,2.79513669013977,-1119420,1720290,"W","D8",0
"89644",6,2302.93823242188,313.374481201172,3.47817826271057,-1118070,1720260,"W","D8",0
"83391",6,2284.05590820312,313.884460449219,6.35119581222534,-1118460,1720650,"W","D8",0
"83366",7,2261.2744140625,140.568283081055,3.70833516120911,-1119210,1720650,"S","D8",0
